Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-23,Hessian,1,300.0,24.0,13.23,12.8,200.0,23.0,8.82,8.6,10.7
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-23,Hessian,1,380.0,22.0,16.75,16.48,22.0,22.0,0.97,0.95,8.71
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-23,Hessian,1,290.0,30.0,12.79,11.8,444.0,30.0,19.58,18.07,14.94
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-23,Hessian,1,270.0,29.0,11.9,11.07,222.0,22.0,9.79,9.63,10.35
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-23,Hessian,1,280.0,20.0,12.35,12.35,222.0,45.0,9.79,8.1,10.22
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-24,Hessian,1,200.0,20.0,160.0,7.05,222.0,23.0,170.94,7.54,7.29
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-25,Hessian,1,245.0,33.0,164.15,7.24,245.0,35.0,159.25,7.02,7.13
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-25,Hessian,1,273.0,22.0,212.94,9.39,222.0,22.0,173.16,7.63,8.51
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-25,Hessian,1,33.0,30.0,23.1,1.02,333.0,20.0,266.4,11.75,6.38
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-25,Hessian,1,33.0,30.0,23.1,1.02,333.0,20.0,266.4,11.75,6.38
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-25,Hessian,1,288.0,22.0,224.64,9.9,288.0,28.0,207.36,9.14,9.52
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-25,Hessian,1,288.0,22.0,224.64,9.9,288.0,28.0,207.36,9.14,9.52
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-25,Hessian,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-25,Hessian,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-25,Hessian,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-25,Hessian,1,0.0,30.0,0.0,0.0,30.0,30.0,21.0,0.93,0.47
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-25,Hessian,1,399.0,30.0,279.3,12.31,30.0,30.0,21.0,0.93,6.62
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-27,Hessian,1,443.0,22.0,345.54,15.23,222.0,23.0,170.94,7.54,11.38
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-27,Hessian,1,443.0,22.0,345.54,15.23,222.0,23.0,170.94,7.54,11.38
Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted
2025-10-27,Hessian,1,443.0,23.0,341.11,15.04,566.0,45.0,311.3,13.73,14.38
