Date,Quality,Machine No.,Weight 1,MR% 1,Actual 1,Converted 1,Weight 2,MR% 2,Actual 2,Converted 2,Average Converted,Weight 1 (gm),Weight 2 (gm)
2025-10-18,Hessian,1.0,100.0,50.0,4.41,3.53,50.0,50.0,2.2,1.76,2.65,,
2025-10-18,Hessian,1.0,100.0,50.0,4.41,3.53,50.0,50.0,2.2,1.76,2.65,,
2025-10-18,Hessian,1.0,300.0,28.0,13.23,12.4,400.0,28.0,17.64,16.53,14.46,,
2025-10-18,Hessian,1.0,350.0,28.0,15.43,14.47,400.0,28.0,17.64,16.53,15.5,,
2025-10-23,Hessian,1.0,371.0,50.0,16.36,13.09,361.0,50.0,15.92,12.73,12.91,,
2025-10-23,Hessian,1.0,371.0,50.0,16.36,13.09,361.0,50.0,15.92,12.73,12.91,,
2025-10-23,Hessian,1.0,270.0,50.0,11.9,9.52,311.0,45.0,13.71,11.35,10.43,,
2025-10-23,Hessian,1.0,270.0,50.0,11.9,9.52,340.0,50.0,14.99,11.99,10.75,,
2025-10-23,Hessian,1.0,300.0,24.0,13.23,12.8,200.0,23.0,8.82,8.6,10.7,,
2025-10-23,Hessian,1.0,380.0,22.0,16.75,16.48,22.0,22.0,0.97,0.95,8.71,,
2025-10-23,Hessian,1.0,290.0,30.0,12.79,11.8,444.0,30.0,19.58,18.07,14.94,,
2025-10-23,Hessian,1.0,270.0,29.0,11.9,11.07,222.0,22.0,9.79,9.63,10.35,,
2025-10-23,Hessian,1.0,280.0,20.0,12.35,12.35,222.0,45.0,9.79,8.1,10.22,,
2025-10-23,Hessian,1.0,280.0,20.0,12.35,12.35,222.0,45.0,9.79,8.1,10.22,,
2025-10-24,Hessian,1.0,222.0,22.0,9.79,9.63,333.0,33.0,14.68,13.25,11.44,,
2025-10-24,Hessian,1.0,300.0,22.0,13.23,13.01,333.0,22.0,14.68,14.44,13.72,,
2025-10-24,Hessian,1.0,222.0,2.0,9.79,11.52,222.0,22.0,9.79,9.63,10.57,,
2025-10-23,Hessian,2.0,200.0,50.0,8.82,7.05,55.0,22.0,2.43,2.39,4.72,,
2025-10-24,Hessian,1.0,277.0,50.0,138.5,6.11,277.0,29.0,196.67,8.67,7.39,,
2025-10-24,Hessian,1.0,277.0,50.0,138.5,6.11,277.0,29.0,196.67,8.67,7.39,,
2025-10-24,Hessian,1.0,277.0,33.0,185.59,8.18,265.0,30.0,185.5,8.18,8.18,,
2025-10-24,Hessian,,277.0,33.0,185.59,8.18,265.0,30.0,185.5,8.18,8.18,,
